"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"3PLAND","BE","07-Nov-2018","         11.50","         12.05","         12.05","         12.05","         12.05","         12.05","         12.05","       1010","               12170.50","          2","-","-"
"3PLAND","BE","09-Nov-2018","         12.05","         12.65","         12.65","         11.55","         12.65","         12.65","         12.49","       1500","               18730.00","          9","-","-"
"3PLAND","BE","12-Nov-2018","         12.65","         13.25","         13.25","         13.00","         13.00","         13.00","         13.25","       1001","               13263.00","          3","-","-"
"3PLAND","BE","13-Nov-2018","         13.00","         12.60","         13.20","         12.60","         13.20","         13.20","         12.66","        560","                7092.00","          4","-","-"
"3PLAND","BE","15-Nov-2018","         13.20","         13.05","         13.05","         13.05","         13.05","         13.05","         13.05","       1000","               13050.00","          2","-","-"
"3PLAND","BE","16-Nov-2018","         13.05","         13.05","         13.05","         13.05","         13.05","         13.05","         13.05","        214","                2792.70","          2","-","-"
"3PLAND","BE","19-Nov-2018","         13.05","         13.05","         13.05","         13.05","         13.05","         13.05","         13.05","          5","                  65.25","          1","-","-"
"3PLAND","BE","26-Nov-2018","         13.05","         12.45","         12.45","         12.45","         12.45","         12.45","         12.45","          5","                  62.25","          1","-","-"
"3PLAND","BE","27-Nov-2018","         12.45","         11.85","         11.85","         11.85","         11.85","         11.85","         11.85","       1600","               18960.00","          3","-","-"
"3PLAND","BE","28-Nov-2018","         11.85","         11.30","         11.30","         11.30","         11.30","         11.30","         11.30","       3443","               38905.90","         11","-","-"
"3PLAND","BE","29-Nov-2018","         11.30","         10.75","         11.85","         10.75","         11.85","         11.85","         10.76","       1520","               16351.00","          6","-","-"
"3PLAND","BE","04-Dec-2018","         11.85","         12.35","         12.35","         12.35","         12.35","         12.35","         12.35","         40","                 494.00","          1","-","-"
"3PLAND","BE","10-Dec-2018","         12.35","         11.75","         11.75","         11.75","         11.75","         11.75","         11.75","          4","                  47.00","          2","-","-"
"3PLAND","BE","11-Dec-2018","         11.75","         11.70","         11.70","         11.50","         11.50","         11.50","         11.52","        110","                1267.00","          2","-","-"
"3PLAND","BE","12-Dec-2018","         11.50","         10.95","         12.05","         10.95","         12.05","         12.05","         11.84","       3752","               44429.90","          9","-","-"
"3PLAND","BE","13-Dec-2018","         12.05","         12.00","         12.00","         12.00","         12.00","         12.00","         12.00","          1","                  12.00","          1","-","-"
"3PLAND","BE","14-Dec-2018","         12.00","         11.40","         11.40","         11.40","         11.40","         11.40","         11.40","        100","                1140.00","          1","-","-"
"3PLAND","BE","17-Dec-2018","         11.40","         11.40","         11.40","         11.05","         11.05","         11.05","         11.40","       2023","               23061.15","          3","-","-"
"3PLAND","EQ","18-Dec-2018","         11.05","         13.00","         13.05","         11.35","         13.05","         13.05","         11.69","       1615","               18877.50","          7","       1301","         80.56"
"3PLAND","EQ","19-Dec-2018","         13.05","         13.05","         13.05","         11.00","         11.55","         11.55","         12.01","       2345","               28154.10","         13","       1345","         57.36"
"3PLAND","EQ","20-Dec-2018","         11.55","         12.00","         12.25","         11.10","         12.00","         11.25","         11.26","       2032","               22880.45","         13","       2001","         98.47"
"3PLAND","EQ","24-Dec-2018","         11.25","         11.25","         11.25","         11.15","         11.15","         11.15","         11.15","        724","                8074.60","          3","        704","         97.24"
"3PLAND","EQ","26-Dec-2018","         11.15","         11.00","         13.00","         11.00","         12.40","         12.40","         12.51","       6266","               78389.35","         33","       4270","         68.15"
"3PLAND","EQ","27-Dec-2018","         12.40","         12.40","         12.40","         11.85","         11.85","         11.85","         11.88","       1974","               23446.90","          9","       1074","         54.41"
"3PLAND","EQ","28-Dec-2018","         11.85","         11.25","         13.15","         11.25","         12.50","         12.50","         12.16","        548","                6665.80","         16","        168","         30.66"
"3PLAND","EQ","31-Dec-2018","         12.50","         11.30","         12.85","         11.30","         12.00","         12.00","         12.30","        408","                5017.05","         11","        407","         99.75"
