SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
CINELINE, EQ, 30-Aug-2019, 37.85, 37.00, 38.95, 36.10, 36.95, 36.95, 37.00, 5024, 1.86, 112, 3042, 60.55
CINEVISTA, BE, 30-Aug-2019, 6.40, 6.10, 6.15, 6.10, 6.15, 6.15, 6.14, 800, 0.05, 4, -, -
CIPLA, EQ, 30-Aug-2019, 465.20, 468.00, 475.20, 461.45, 473.00, 472.45, 468.49, 1126818, 5279.08, 32258, 365812, 32.46
CKFSL, EQ, 30-Aug-2019, 1.00, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 43830, 0.42, 33, 43829, 100.00
CLEDUCATE, EQ, 30-Aug-2019, 85.30, 85.00, 85.00, 82.20, 82.95, 82.65, 83.06, 1197, 0.99, 64, 973, 81.29
CLNINDIA, EQ, 30-Aug-2019, 305.35, 305.05, 306.00, 297.50, 300.00, 300.20, 302.06, 15361, 46.40, 313, 13203, 85.95
CMICABLES, EQ, 30-Aug-2019, 56.00, 57.90, 58.00, 54.85, 56.95, 56.25, 55.89, 9215, 5.15, 427, 2754, 29.89
CNOVAPETRO, EQ, 30-Aug-2019, 8.15, 8.95, 8.95, 8.25, 8.25, 8.25, 8.71, 153, 0.01, 7, 102, 66.67
COALINDIA, EQ, 30-Aug-2019, 189.00, 189.75, 190.45, 182.15, 184.70, 184.75, 185.10, 11880019, 21990.09, 109641, 4388080, 36.94
COCHINSHIP, EQ, 30-Aug-2019, 345.05, 343.55, 347.75, 342.10, 345.00, 344.80, 344.78, 18603, 64.14, 1358, 10766, 57.87
COFFEEDAY, EQ, 30-Aug-2019, 78.75, 74.85, 74.85, 74.85, 74.85, 74.85, 74.85, 95218, 71.27, 795, 95217, 100.00
COLPAL, EQ, 30-Aug-2019, 1252.40, 1257.70, 1278.65, 1251.10, 1274.00, 1274.55, 1267.21, 714350, 9052.35, 23262, 310710, 43.50
COMPINFO, EQ, 30-Aug-2019, 8.95, 8.90, 9.40, 8.65, 9.25, 9.25, 9.05, 60836, 5.50, 185, 12933, 21.26
COMPUSOFT, EQ, 30-Aug-2019, 8.55, 8.55, 8.75, 8.35, 8.60, 8.65, 8.58, 15967, 1.37, 56, 14059, 88.05
CONCOR, EQ, 30-Aug-2019, 496.75, 497.00, 510.45, 494.20, 510.00, 508.30, 505.75, 1177972, 5957.58, 32231, 633042, 53.74
CONFIPET, EQ, 30-Aug-2019, 23.80, 24.95, 24.95, 23.70, 24.75, 24.75, 24.58, 207004, 50.87, 2063, 156058, 75.39
CONSOFINVT, EQ, 30-Aug-2019, 33.90, 32.00, 38.75, 30.00, 34.60, 34.60, 33.97, 5162, 1.75, 34, 4916, 95.23
CONTROLPR, EQ, 30-Aug-2019, 245.30, 247.95, 248.75, 244.85, 248.75, 245.30, 245.44, 1347, 3.31, 72, 961, 71.34
CORALFINAC, EQ, 30-Aug-2019, 10.90, 10.90, 11.40, 10.50, 11.30, 11.10, 11.22, 3451, 0.39, 41, 2444, 70.82
CORDSCABLE, EQ, 30-Aug-2019, 37.30, 37.50, 38.65, 37.00, 38.00, 38.25, 37.87, 2935, 1.11, 47, 1962, 66.85
COROMANDEL, EQ, 30-Aug-2019, 386.40, 383.20, 387.80, 376.85, 382.00, 384.90, 382.90, 93925, 359.64, 2127, 61818, 65.82
CORPBANK, EQ, 30-Aug-2019, 17.20, 17.40, 19.20, 17.10, 18.95, 18.85, 18.47, 835812, 154.35, 4162, 402550, 48.16
COSMOFILMS, EQ, 30-Aug-2019, 215.00, 211.00, 219.45, 211.00, 217.00, 215.05, 214.77, 17064, 36.65, 400, 10613, 62.20
COUNCODOS, BE, 30-Aug-2019, 1.55, 1.50, 1.50, 1.50, 1.50, 1.50, 1.50, 7272, 0.11, 15, -, -
COX&KINGS, EQ, 30-Aug-2019, 4.65, 4.45, 4.45, 4.45, 4.45, 4.45, 4.45, 246833, 10.98, 447, 246833, 100.00
CPSEETF, EQ, 30-Aug-2019, 22.63, 22.80, 22.95, 22.00, 22.38, 22.38, 22.35, 9602345, 2146.50, 13866, 3289814, 34.26
CREATIVE, EQ, 30-Aug-2019, 72.30, 72.10, 75.40, 72.00, 72.00, 72.00, 74.03, 3716, 2.75, 13, 2610, 70.24
CREDITACC, EQ, 30-Aug-2019, 525.05, 524.10, 586.70, 522.60, 561.00, 559.95, 561.69, 377049, 2117.84, 21405, 206082, 54.66
CREST, EQ, 30-Aug-2019, 79.80, 80.15, 80.15, 77.60, 80.15, 78.45, 79.19, 1013, 0.80, 34, 706, 69.69
CRISIL, EQ, 30-Aug-2019, 1279.65, 1289.85, 1293.00, 1272.00, 1285.95, 1284.40, 1288.51, 16498, 212.58, 797, 14664, 88.88
CROMPTON, EQ, 30-Aug-2019, 225.95, 226.85, 231.70, 226.15, 230.40, 230.50, 228.71, 840683, 1922.71, 8126, 732846, 87.17
CTE, EQ, 30-Aug-2019, 28.55, 28.75, 28.75, 28.65, 28.65, 28.65, 28.66, 467, 0.13, 8, 387, 82.87
CUB, EQ, 30-Aug-2019, 192.80, 192.10, 204.45, 192.10, 201.65, 203.05, 199.49, 648181, 1293.04, 8649, 448445, 69.19
CUBEXTUB, EQ, 30-Aug-2019, 10.35, 9.45, 10.30, 9.35, 10.20, 10.20, 9.69, 1135, 0.11, 12, 635, 55.95
CUMMINSIND, EQ, 30-Aug-2019, 569.60, 569.00, 581.00, 560.50, 575.00, 574.75, 568.03, 390456, 2217.93, 11173, 50150, 12.84
CUPID, EQ, 30-Aug-2019, 129.60, 130.00, 131.50, 128.30, 129.50, 129.60, 129.67, 15917, 20.64, 497, 11120, 69.86
CYBERTECH, EQ, 30-Aug-2019, 46.60, 47.80, 49.00, 46.20, 47.50, 47.40, 47.75, 15052, 7.19, 137, 7938, 52.74
CYIENT, EQ, 30-Aug-2019, 429.80, 428.30, 432.60, 414.05, 420.10, 421.00, 419.50, 153311, 643.13, 5228, 91762, 59.85
DAAWAT, EQ, 30-Aug-2019, 22.95, 23.20, 23.30, 22.10, 22.85, 22.90, 22.70, 366028, 83.10, 1896, 190077, 51.93
DABUR, EQ, 30-Aug-2019, 442.85, 444.70, 450.35, 444.00, 448.10, 448.80, 446.48, 3191823, 14250.81, 71493, 2173781, 68.10
DALBHARAT, EQ, 30-Aug-2019, 912.80, 910.00, 934.95, 896.05, 903.90, 900.15, 907.10, 47916, 434.65, 4965, 39546, 82.53
DALMIASUG, EQ, 30-Aug-2019, 75.10, 75.90, 77.70, 74.95, 77.00, 76.95, 75.99, 82023, 62.33, 1021, 36025, 43.92
DAMODARIND, EQ, 30-Aug-2019, 29.00, 29.45, 30.00, 29.05, 29.05, 29.05, 29.17, 290, 0.08, 11, 200, 68.97
DATAMATICS, EQ, 30-Aug-2019, 72.50, 73.50, 73.50, 70.25, 71.50, 71.00, 71.52, 35593, 25.46, 528, 18373, 51.62
DBCORP, EQ, 30-Aug-2019, 135.85, 139.95, 139.95, 133.10, 133.45, 135.65, 135.88, 28210, 38.33, 1868, 8417, 29.84
DBL, EQ, 30-Aug-2019, 364.00, 367.70, 375.90, 358.00, 358.90, 359.55, 366.21, 128268, 469.73, 4999, 47362, 36.92
DBREALTY, EQ, 30-Aug-2019, 6.15, 6.05, 6.20, 5.90, 6.10, 6.05, 6.15, 6251609, 384.27, 1503, 6162723, 98.58
DBSTOCKBRO, BE, 30-Aug-2019, 8.55, 8.15, 8.95, 8.15, 8.55, 8.80, 8.65, 2104, 0.18, 9, -, -
DCAL, EQ, 30-Aug-2019, 167.60, 169.00, 174.90, 162.40, 170.00, 168.95, 167.94, 97161, 163.17, 3621, 42196, 43.43
DCBBANK, EQ, 30-Aug-2019, 200.05, 201.90, 209.40, 200.25, 206.90, 208.15, 204.70, 636242, 1302.38, 14437, 298811, 46.96
DCM, EQ, 30-Aug-2019, 21.50, 22.00, 22.50, 20.50, 21.55, 21.55, 21.69, 18733, 4.06, 203, 12579, 67.15
DCMNVL, EQ, 30-Aug-2019, 28.95, 31.70, 31.70, 27.05, 28.20, 28.20, 27.89, 19616, 5.47, 391, 15490, 78.97
DCMSHRIRAM, EQ, 30-Aug-2019, 388.00, 389.00, 392.00, 375.00, 383.50, 382.45, 383.30, 95478, 365.97, 10396, 32566, 34.11
DCW, EQ, 30-Aug-2019, 16.20, 16.30, 16.50, 15.85, 16.35, 16.35, 16.24, 107954, 17.53, 476, 66986, 62.05
DECCANCE, EQ, 30-Aug-2019, 358.05, 361.00, 364.45, 351.00, 356.00, 356.45, 357.59, 1447, 5.17, 140, 873, 60.33
DEEPAKFERT, EQ, 30-Aug-2019, 80.00, 80.25, 81.50, 78.25, 78.70, 78.90, 79.41, 95270, 75.66, 1304, 59739, 62.70
DEEPAKNTR, EQ, 30-Aug-2019, 280.40, 280.75, 284.70, 275.00, 275.05, 275.50, 277.01, 211345, 585.44, 4524, 142283, 67.32
DEEPIND, EQ, 30-Aug-2019, 101.05, 99.00, 102.35, 99.00, 100.00, 100.20, 100.43, 5344, 5.37, 267, 3298, 61.71
DELTACORP, EQ, 30-Aug-2019, 163.85, 164.05, 178.60, 164.05, 177.15, 176.50, 172.20, 1821183, 3136.10, 22821, 676012, 37.12
DELTAMAGNT, EQ, 30-Aug-2019, 41.75, 39.70, 43.80, 39.70, 43.80, 43.80, 40.29, 35, 0.01, 6, 35, 100.00
DEN, EQ, 30-Aug-2019, 88.70, 89.50, 91.15, 86.70, 87.50, 88.15, 88.67, 99869, 88.55, 1338, 42207, 42.26
DENORA, EQ, 30-Aug-2019, 199.75, 198.85, 205.95, 195.95, 203.00, 200.75, 198.54, 1874, 3.72, 83, 1478, 78.87
DEVIT, SM, 30-Aug-2019, 79.00, 79.00, 79.00, 79.00, 79.00, 79.00, 79.00, 12000, 9.48, 8, 12000, 100.00
DFMFOODS, EQ, 30-Aug-2019, 269.35, 269.00, 270.00, 267.00, 270.00, 269.65, 269.09, 14512, 39.05, 210, 12706, 87.56
DGCONTENT, EQ, 30-Aug-2019, 6.25, 6.00, 6.35, 5.95, 5.95, 5.95, 6.00, 5745, 0.34, 37, 5345, 93.04
DHAMPURSUG, EQ, 30-Aug-2019, 147.50, 148.35, 149.50, 142.50, 146.50, 147.15, 145.97, 326625, 476.78, 4303, 97014, 29.70
DHANBANK, EQ, 30-Aug-2019, 13.55, 13.65, 13.75, 13.20, 13.55, 13.55, 13.51, 179958, 24.31, 478, 89189, 49.56
DHANUKA, EQ, 30-Aug-2019, 313.00, 313.15, 321.90, 313.00, 317.15, 318.00, 317.24, 6107, 19.37, 516, 3747, 61.36
